epoch,train_loss,val_loss,val_auroc,auc_Atelectasis,auc_Cardiomegaly,auc_Consolidation,auc_Edema,auc_Effusion,auc_Emphysema,auc_Fibrosis,auc_Hernia,auc_Infiltration,auc_Mass,auc_Nodule,auc_Pleural_Thickening,auc_Pneumonia,auc_Pneumothorax,auc_No Finding
1,0.671,0.6545,0.5071,0.4791,0.5052,0.5558,0.4642,0.4751,0.4288,0.4364,0.6552,0.4531,0.6186,0.4308,,0.5279,0.529,0.5404
2,0.6556,0.6545,0.5001,0.4567,0.5298,0.4958,0.4633,0.4724,0.4153,0.4629,0.6014,0.4793,0.6114,0.4262,,0.49,0.5567,0.54
3,0.6556,0.6545,0.5025,0.4651,0.5298,0.5081,0.4332,0.5007,0.4312,0.4775,0.6161,0.4844,0.6193,0.4035,,0.497,0.5334,0.5354
4,0.6556,0.6545,0.4935,0.4516,0.4982,0.4733,0.413,0.459,0.4372,0.4796,0.6474,0.4659,0.6126,0.404,,0.4865,0.5276,0.5539
5,0.6556,0.6545,0.4959,0.4603,0.4949,0.4878,0.358,0.4733,0.4605,0.4518,0.6657,0.4632,0.62,0.401,,0.5089,0.5464,0.5511
